ID,ALIGN,EYE,HAIR,SEX,ALIVE,APPEARANCES,YEAR,AlignCategory,HairCategory,EyeCategory,SexCategory,AliveCategory
public identity,neutral characters,brown eyes,brown hair,male characters,living characters,29.0,1996.0,neutral,dark,dark,male,living
public identity,good characters,white eyes,black hair,male characters,living characters,29.0,1994.0,good,dark,light,male,living
public identity,good characters,blue eyes,blond hair,male characters,living characters,29.0,1994.0,good,light,light,male,living
secret identity,bad characters,brown eyes,blond hair,male characters,deceased characters,29.0,1991.0,bad,light,dark,male,deceased
secret identity,bad characters,unknown,unknown,male characters,deceased characters,29.0,1988.0,bad,unknown,unknown,male,deceased
public identity,good characters,unknown,unknown,female characters,living characters,29.0,1988.0,good,unknown,unknown,female,living
secret identity,good characters,unknown,black hair,male characters,living characters,29.0,1988.0,good,dark,unknown,male,living
public identity,good characters,unknown,black hair,female characters,living characters,29.0,1988.0,good,dark,unknown,female,living
public identity,good characters,hazel eyes,red hair,female characters,living characters,29.0,1987.0,good,dark,light,female,living
public identity,good characters,black eyes,red hair,male characters,deceased characters,29.0,1987.0,good,dark,dark,male,deceased
public identity,good characters,unknown,brown hair,male characters,living characters,29.0,1987.0,good,dark,unknown,male,living
public identity,unknown,unknown,brown hair,female characters,living characters,29.0,1984.0,unknown,dark,unknown,female,living
secret identity,unknown,blue eyes,black hair,female characters,living characters,29.0,1983.0,unknown,dark,light,female,living
identity unknown,bad characters,unknown,unknown,male characters,living characters,29.0,1982.0,bad,unknown,unknown,male,living
identity unknown,bad characters,black eyes,unknown,male characters,deceased characters,29.0,1981.0,bad,unknown,dark,male,deceased
secret identity,bad characters,blue eyes,black hair,female characters,deceased characters,29.0,1976.0,bad,dark,light,female,deceased
public identity,good characters,unknown,red hair,female characters,living characters,29.0,1967.0,good,dark,unknown,female,living
secret identity,bad characters,red eyes,white hair,male characters,living characters,29.0,1965.0,bad,light,others,male,living
secret identity,unknown,black eyes,unknown,male characters,deceased characters,29.0,1962.0,unknown,unknown,dark,male,deceased
public identity,good characters,brown eyes,brown hair,male characters,deceased characters,29.0,1942.0,good,dark,dark,male,deceased
secret identity,good characters,black eyes,black hair,male characters,living characters,29.0,1940.0,good,dark,dark,male,living
identity unknown,good characters,unknown,brown hair,female characters,living characters,29.0,1940.0,good,dark,unknown,female,living
public identity,bad characters,black eyes,unknown,male characters,living characters,28.0,2007.0,bad,unknown,dark,male,living
identity unknown,good characters,unknown,brown hair,female characters,deceased characters,28.0,2005.0,good,dark,unknown,female,deceased
secret identity,good characters,blue eyes,black hair,female characters,living characters,28.0,2002.0,good,dark,light,female,living
secret identity,good characters,brown eyes,black hair,female characters,living characters,28.0,2002.0,good,dark,dark,female,living
public identity,bad characters,brown eyes,black hair,female characters,living characters,28.0,1999.0,bad,dark,dark,female,living
secret identity,good characters,red eyes,unknown,male characters,living characters,28.0,1998.0,good,unknown,others,male,living
public identity,bad characters,blue eyes,blond hair,female characters,living characters,28.0,1997.0,bad,light,light,female,living
secret identity,bad characters,unknown,unknown,male characters,living characters,28.0,1994.0,bad,unknown,unknown,male,living
public identity,good characters,brown eyes,black hair,female characters,living characters,28.0,1994.0,good,dark,dark,female,living
public identity,good characters,white eyes,unknown,male characters,living characters,28.0,1993.0,good,unknown,light,male,living
secret identity,good characters,unknown,unknown,male characters,deceased characters,28.0,1991.0,good,unknown,unknown,male,deceased
secret identity,bad characters,unknown,black hair,male characters,living characters,28.0,1990.0,bad,dark,unknown,male,living
public identity,good characters,blue eyes,black hair,female characters,deceased characters,28.0,1989.0,good,dark,light,female,deceased
public identity,neutral characters,green eyes,red hair,male characters,living characters,28.0,1989.0,neutral,dark,light,male,living
secret identity,bad characters,brown eyes,black hair,male characters,deceased characters,28.0,1987.0,bad,dark,dark,male,deceased
secret identity,good characters,brown eyes,black hair,male characters,living characters,28.0,1985.0,good,dark,dark,male,living
public identity,bad characters,unknown,white hair,male characters,deceased characters,28.0,1982.0,bad,light,unknown,male,deceased
public identity,bad characters,unknown,black hair,male characters,living characters,28.0,1975.0,bad,dark,unknown,male,living
secret identity,good characters,violet eyes,violet hair,female characters,deceased characters,28.0,1973.0,good,light,light,female,deceased
public identity,bad characters,blue eyes,black hair,male characters,living characters,28.0,1971.0,bad,dark,light,male,living
secret identity,bad characters,blue eyes,black hair,female characters,living characters,28.0,1963.0,bad,dark,light,female,living
identity unknown,bad characters,black eyes,black hair,male characters,living characters,28.0,1962.0,bad,dark,dark,male,living
identity unknown,good characters,unknown,brown hair,male characters,living characters,28.0,1961.0,good,dark,unknown,male,living
secret identity,bad characters,blue eyes,blond hair,male characters,deceased characters,28.0,1961.0,bad,light,light,male,deceased
public identity,good characters,brown eyes,black hair,male characters,deceased characters,28.0,1960.0,good,dark,dark,male,deceased
public identity,bad characters,brown eyes,brown hair,male characters,deceased characters,28.0,1942.0,bad,dark,dark,male,deceased
secret identity,good characters,unknown,blond hair,male characters,deceased characters,28.0,1942.0,good,light,unknown,male,deceased
public identity,good characters,unknown,unknown,male characters,living characters,28.0,1940.0,good,unknown,unknown,male,living
secret identity,good characters,unknown,unknown,male characters,living characters,28.0,1939.0,good,unknown,unknown,male,living
identity unknown,good characters,unknown,brown hair,male characters,living characters,28.0,1938.0,good,dark,unknown,male,living
public identity,bad characters,unknown,unknown,male characters,living characters,27.0,2009.0,bad,unknown,unknown,male,living
public identity,bad characters,red eyes,black hair,female characters,living characters,27.0,2007.0,bad,dark,others,female,living
public identity,good characters,unknown,red hair,female characters,living characters,27.0,2002.0,good,dark,unknown,female,living
